start,startPosition,end,endPosition,frequency
19,"[134.6849976, 137.822998, 78.49230194]",89,"[128.6710052, 165.6470032, 169.845993]",2
19,"[134.6849976, 137.822998, 78.49230194]",91,"[137.1580048, 147.8760071, 171.6820068]",1
19,"[134.6849976, 137.822998, 78.49230194]",92,"[140.1150055, 132.2189941, 171.2709961]",1
19,"[134.6849976, 137.822998, 78.49230194]",96,"[143.9230042, 88.27010345, 177.401001]",2
19,"[134.6849976, 137.822998, 78.49230194]",104,"[137.6719971, 83.3588028, 181.8200073]",1
20,"[140.0559998, 145.1410065, 84.12349701]",13,"[138.2689972, 179.3699951, 124.5009995]",2
20,"[140.0559998, 145.1410065, 84.12349701]",19,"[134.6849976, 137.822998, 78.49230194]",2
20,"[140.0559998, 145.1410065, 84.12349701]",39,"[152.2220001, 68.46289825, 157.4160004]",1
20,"[140.0559998, 145.1410065, 84.12349701]",57,"[143.9880066, 174.8549957, 137.7160034]",2
20,"[140.0559998, 145.1410065, 84.12349701]",58,"[146.345993, 165.3130035, 141.4450073]",2
20,"[140.0559998, 145.1410065, 84.12349701]",59,"[151.7429962, 155.5279999, 144.3860016]",3
20,"[140.0559998, 145.1410065, 84.12349701]",61,"[154.4859924, 137.5749969, 149.378006]",1
20,"[140.0559998, 145.1410065, 84.12349701]",62,"[155.1399994, 128.4019928, 151.8249969]",1
20,"[140.0559998, 145.1410065, 84.12349701]",63,"[156.1549988, 120.0169983, 153.4470062]",3
20,"[140.0559998, 145.1410065, 84.12349701]",70,"[151.7799988, 123.7529984, 158.2429962]",2
20,"[140.0559998, 145.1410065, 84.12349701]",75,"[144.1439972, 151.8390045, 162.9219971]",1
20,"[140.0559998, 145.1410065, 84.12349701]",78,"[150.5050049, 122.2490005, 165.6860046]",2
20,"[140.0559998, 145.1410065, 84.12349701]",79,"[151.3110046, 110.5469971, 164.7810059]",2
20,"[140.0559998, 145.1410065, 84.12349701]",81,"[131.3990021, 172.6230011, 161.6049957]",1
20,"[140.0559998, 145.1410065, 84.12349701]",83,"[140.5249939, 148.4060059, 167.2109985]",1
20,"[140.0559998, 145.1410065, 84.12349701]",85,"[142.0429993, 130.0619965, 169.8990021]",1
20,"[140.0559998, 145.1410065, 84.12349701]",89,"[128.6710052, 165.6470032, 169.845993]",1
20,"[140.0559998, 145.1410065, 84.12349701]",90,"[133.4210052, 161.3540039, 169.8049927]",1
20,"[140.0559998, 145.1410065, 84.12349701]",91,"[137.1580048, 147.8760071, 171.6820068]",1
20,"[140.0559998, 145.1410065, 84.12349701]",93,"[137.6660004, 123.0029984, 177.147995]",1
20,"[140.0559998, 145.1410065, 84.12349701]",96,"[143.9230042, 88.27010345, 177.401001]",2
20,"[140.0559998, 145.1410065, 84.12349701]",104,"[137.6719971, 83.3588028, 181.8200073]",2
30,"[158.427002, 127.9219971, 122.7289963]",13,"[138.2689972, 179.3699951, 124.5009995]",1
30,"[158.427002, 127.9219971, 122.7289963]",45,"[156.0410004, 139.3359985, 136.3329926]",1
30,"[158.427002, 127.9219971, 122.7289963]",58,"[146.345993, 165.3130035, 141.4450073]",1
30,"[158.427002, 127.9219971, 122.7289963]",59,"[151.7429962, 155.5279999, 144.3860016]",1
30,"[158.427002, 127.9219971, 122.7289963]",92,"[140.1150055, 132.2189941, 171.2709961]",1
31,"[157.4230042, 132.8670044, 133.3569946]",34,"[145.1470032, 50.33520126, 120.7890015]",1
31,"[157.4230042, 132.8670044, 133.3569946]",75,"[144.1439972, 151.8390045, 162.9219971]",1
34,"[145.1470032, 50.33520126, 120.7890015]",31,"[157.4230042, 132.8670044, 133.3569946]",1
34,"[145.1470032, 50.33520126, 120.7890015]",39,"[152.2220001, 68.46289825, 157.4160004]",1
34,"[145.1470032, 50.33520126, 120.7890015]",40,"[150.8509979, 71.82060242, 164.5240021]",1
34,"[145.1470032, 50.33520126, 120.7890015]",69,"[152.173996, 131.003006, 157.151001]",1
34,"[145.1470032, 50.33520126, 120.7890015]",75,"[144.1439972, 151.8390045, 162.9219971]",1
34,"[145.1470032, 50.33520126, 120.7890015]",76,"[148.2059937, 142.6670074, 160.7960052]",1
34,"[145.1470032, 50.33520126, 120.7890015]",91,"[137.1580048, 147.8760071, 171.6820068]",1
37,"[149.3670044, 59.48680115, 141.0269928]",36,"[146.3049927, 58.26319885, 135.0350037]",1
39,"[152.2220001, 68.46289825, 157.4160004]",40,"[150.8509979, 71.82060242, 164.5240021]",6
39,"[152.2220001, 68.46289825, 157.4160004]",48,"[160.5249939, 110.7419968, 140.3540039]",2
39,"[152.2220001, 68.46289825, 157.4160004]",52,"[153.1410065, 150.4570007, 139.9400024]",1
39,"[152.2220001, 68.46289825, 157.4160004]",53,"[153.8890076, 140.7480011, 141.076004]",1
39,"[152.2220001, 68.46289825, 157.4160004]",58,"[146.345993, 165.3130035, 141.4450073]",1
39,"[152.2220001, 68.46289825, 157.4160004]",59,"[151.7429962, 155.5279999, 144.3860016]",5
39,"[152.2220001, 68.46289825, 157.4160004]",60,"[151.2940063, 145.7890015, 147.4069977]",1
39,"[152.2220001, 68.46289825, 157.4160004]",62,"[155.1399994, 128.4019928, 151.8249969]",2
39,"[152.2220001, 68.46289825, 157.4160004]",68,"[149.654007, 142.7079926, 152.904007]",1
39,"[152.2220001, 68.46289825, 157.4160004]",69,"[152.173996, 131.003006, 157.151001]",1
39,"[152.2220001, 68.46289825, 157.4160004]",70,"[151.7799988, 123.7529984, 158.2429962]",1
39,"[152.2220001, 68.46289825, 157.4160004]",72,"[156.5449982, 102.3290024, 159.7810059]",2
39,"[152.2220001, 68.46289825, 157.4160004]",75,"[144.1439972, 151.8390045, 162.9219971]",5
39,"[152.2220001, 68.46289825, 157.4160004]",76,"[148.2059937, 142.6670074, 160.7960052]",7
39,"[152.2220001, 68.46289825, 157.4160004]",79,"[151.3110046, 110.5469971, 164.7810059]",1
39,"[152.2220001, 68.46289825, 157.4160004]",80,"[153.977005, 99.99990082, 164.8159943]",1
39,"[152.2220001, 68.46289825, 157.4160004]",81,"[131.3990021, 172.6230011, 161.6049957]",5
39,"[152.2220001, 68.46289825, 157.4160004]",82,"[138.1589966, 161.0829926, 165.0639954]",1
39,"[152.2220001, 68.46289825, 157.4160004]",83,"[140.5249939, 148.4060059, 167.2109985]",5
39,"[152.2220001, 68.46289825, 157.4160004]",84,"[142.7519989, 136.5160065, 168.7149963]",12
39,"[152.2220001, 68.46289825, 157.4160004]",85,"[142.0429993, 130.0619965, 169.8990021]",1
39,"[152.2220001, 68.46289825, 157.4160004]",87,"[146.7590027, 103.5790024, 170.7570038]",1
39,"[152.2220001, 68.46289825, 157.4160004]",89,"[128.6710052, 165.6470032, 169.845993]",2
39,"[152.2220001, 68.46289825, 157.4160004]",90,"[133.4210052, 161.3540039, 169.8049927]",3
39,"[152.2220001, 68.46289825, 157.4160004]",91,"[137.1580048, 147.8760071, 171.6820068]",9
39,"[152.2220001, 68.46289825, 157.4160004]",92,"[140.1150055, 132.2189941, 171.2709961]",15
39,"[152.2220001, 68.46289825, 157.4160004]",93,"[137.6660004, 123.0029984, 177.147995]",4
40,"[150.8509979, 71.82060242, 164.5240021]",11,"[138.5820007, 164.0650024, 116.2009964]",1
40,"[150.8509979, 71.82060242, 164.5240021]",34,"[145.1470032, 50.33520126, 120.7890015]",1
40,"[150.8509979, 71.82060242, 164.5240021]",39,"[152.2220001, 68.46289825, 157.4160004]",6
40,"[150.8509979, 71.82060242, 164.5240021]",41,"[144.4600067, 172.7590027, 126.1689987]",1
40,"[150.8509979, 71.82060242, 164.5240021]",58,"[146.345993, 165.3130035, 141.4450073]",1
40,"[150.8509979, 71.82060242, 164.5240021]",72,"[156.5449982, 102.3290024, 159.7810059]",1
40,"[150.8509979, 71.82060242, 164.5240021]",74,"[143.0890045, 162.6399994, 158.6560059]",3
40,"[150.8509979, 71.82060242, 164.5240021]",76,"[148.2059937, 142.6670074, 160.7960052]",1
40,"[150.8509979, 71.82060242, 164.5240021]",79,"[151.3110046, 110.5469971, 164.7810059]",1
40,"[150.8509979, 71.82060242, 164.5240021]",82,"[138.1589966, 161.0829926, 165.0639954]",2
40,"[150.8509979, 71.82060242, 164.5240021]",83,"[140.5249939, 148.4060059, 167.2109985]",7
40,"[150.8509979, 71.82060242, 164.5240021]",84,"[142.7519989, 136.5160065, 168.7149963]",5
40,"[150.8509979, 71.82060242, 164.5240021]",85,"[142.0429993, 130.0619965, 169.8990021]",1
40,"[150.8509979, 71.82060242, 164.5240021]",90,"[133.4210052, 161.3540039, 169.8049927]",1
40,"[150.8509979, 71.82060242, 164.5240021]",91,"[137.1580048, 147.8760071, 171.6820068]",1
40,"[150.8509979, 71.82060242, 164.5240021]",92,"[140.1150055, 132.2189941, 171.2709961]",4
40,"[150.8509979, 71.82060242, 164.5240021]",93,"[137.6660004, 123.0029984, 177.147995]",4
41,"[144.4600067, 172.7590027, 126.1689987]",19,"[134.6849976, 137.822998, 78.49230194]",1
41,"[144.4600067, 172.7590027, 126.1689987]",39,"[152.2220001, 68.46289825, 157.4160004]",2
41,"[144.4600067, 172.7590027, 126.1689987]",40,"[150.8509979, 71.82060242, 164.5240021]",3
41,"[144.4600067, 172.7590027, 126.1689987]",55,"[158.6190033, 123.2190018, 146.7550049]",1
41,"[144.4600067, 172.7590027, 126.1689987]",58,"[146.345993, 165.3130035, 141.4450073]",2
41,"[144.4600067, 172.7590027, 126.1689987]",59,"[151.7429962, 155.5279999, 144.3860016]",2
41,"[144.4600067, 172.7590027, 126.1689987]",60,"[151.2940063, 145.7890015, 147.4069977]",2
41,"[144.4600067, 172.7590027, 126.1689987]",72,"[156.5449982, 102.3290024, 159.7810059]",5
41,"[144.4600067, 172.7590027, 126.1689987]",74,"[143.0890045, 162.6399994, 158.6560059]",3
41,"[144.4600067, 172.7590027, 126.1689987]",75,"[144.1439972, 151.8390045, 162.9219971]",1
